No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
8232,0.0403153446805355,120793,126743,129960,0,119.1,131.1,12555,12815,13428,1249.8,1135.3,1274.5,115.48,-122.77,-0.01,116.09,-121.02,1
8233,0.00386578092493617,129435,129823,129217,71.6,73.3,79,13304,13361,13274,1256.5,1157.7,1284.1,120.21,-119.75,0.75,121.04,-118.89,0
8233,1.19696161407851e-05,133122,133121,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.2,1.3,120,-120,0,120,-120,0
8234,0.000449084537200391,133019,133087,133129,0,1.4,1.4,13825,13828,13836,1.3,1.2,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8234,0.0374673534848326,120972,127088,129781,0,113.7,130,12573,12870,13398,1239.9,1083.1,1286.8,115.85,-122.44,-0.01,116.45,-120.7,1
8235,0.00425270758804245,129705,130160,129499,65.7,67.2,73.7,13342,13410,13314,1166.4,1052,1189.4,120.22,-119.72,0.68,120.98,-118.92,0
8235,1.18878540663002e-05,133122,133121,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.2,1.3,120,-120,0,120,-120,0
8236,0.00044854153211282,133019,133087,133129,0,1.4,1.4,13825,13828,13836,1.3,1.2,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8236,0.0343490191863691,121828,127630,130012,0,103.9,121,12662,12955,13427,1152.5,989.4,1192.3,116.24,-122.16,-0.01,116.79,-120.55,1
8237,0.00477518445377528,129047,129520,128775,78.3,80.5,87.4,13248,13319,13211,1384.7,1263.5,1419.3,120.26,-119.69,0.82,121.18,-118.74,0
8237,1.19970011406439e-05,133121,133121,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.2,1.4,120,-120,0,120,-120,0
8238,0.000448516687428378,133019,133087,133129,0,1.4,1.4,13825,13828,13836,1.3,1.2,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8238,0.0406172875279294,119751,126574,129332,0,123.2,143,12446,12788,13338,1364.4,1174.8,1422.9,115.54,-122.58,-0.01,116.19,-120.66,1
8239,0.00421292135314181,129281,129685,129022,74.4,76.6,82.6,13282,13342,13246,1308.8,1204.7,1343.5,120.24,-119.73,0.78,121.11,-118.83,0
8239,1.19508921847914e-05,133121,133121,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.2,1.4,120,-120,0,120,-120,0
8240,0.000448668768225717,133019,133087,133129,0,1.4,1.4,13825,13828,13836,1.3,1.2,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8240,0.0386675595275632,120488,126860,129590,0,117.9,135.3,12523,12833,13373,1291,1124.3,1346.5,115.72,-122.51,-0.01,116.35,-120.7,1
8241,0.00255995330934188,129397,129470,129780,76.5,71.9,72.1,13299,13309,13355,1240.6,1237.3,1162.6,119.82,-120.06,0.83,120.58,-119.26,0
8241,1.13032119248664e-05,133121,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.3,1.3,1.3,120,-120,0,120,-120,0
8242,0.000457557339909273,133019,133086,133130,0,1.4,1.4,13825,13828,13836,1.3,1.3,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8242,0.0446364315575433,120854,126550,130507,0,120.8,127.8,12561,12784,13509,1218.1,1152.2,1162.6,115.04,-123.13,-0.01,115.58,-121.41,1
8243,0.00271353020839822,128954,129036,129360,85.1,80.2,80.5,13236,13247,13295,1383,1378.6,1300.4,119.81,-120.06,0.93,120.66,-119.16,0
8243,1.12639937663027e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.5,1.5,1.4,120,-120,0,120,-120,0
8244,0.00046310210998796,133017,133085,133130,0,1.4,1.4,13825,13828,13836,1.5,1.5,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8244,0.0493573926477476,119466,125845,130113,0,133.4,142,12417,12672,13459,1354.7,1273.6,1300.4,114.51,-123.45,-0.01,115.11,-121.53,1
8245,0.00192005383768306,129165,129231,129455,80.9,77.4,77.7,13266,13275,13308,1321.1,1316.2,1261.8,119.87,-120.04,0.88,120.7,-119.18,0
8245,1.16354362199831e-05,133122,133121,133121,0.8,0.8,0.8,13834,13834,13834,1.2,1.2,1.1,120,-120,0,120,-120,0
8246,0.000452180133287791,133020,133087,133130,0,1.4,1.4,13825,13828,13836,1.2,1.2,1.1,119.95,-120.03,-0.01,119.95,-120.02,1
8246,0.0463543978261318,120126,126170,130195,0,128,135.9,12485,12724,13468,1296.5,1220.9,1261.8,114.82,-123.27,-0.01,115.42,-121.44,1
8247,0.00222226261902611,129539,129608,129874,73.6,69.6,69.9,13320,13329,13368,1196.9,1192.6,1128.5,119.85,-120.05,0.8,120.58,-119.27,0
8247,1.15660303306772e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.3,120,-120,0,120,-120,0
8248,0.000459740064983011,133018,133086,133130,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8248,0.0427856389091402,121302,126781,130587,0,116.8,123.4,12608,12821,13519,1176.4,1113.7,1128.5,115.24,-123.01,-0.01,115.77,-121.35,1
8249,0.000239607611089223,129606,129644,129621,72,71.7,72.3,13329,13335,13331,1193,1184.5,1188.4,120,-119.98,0.78,120.78,-119.2,0
8249,1.25375761966566e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.4,120,-120,0,120,-120,0
8250,0.000455085038285865,133019,133086,133130,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8250,0.0397249242151713,121514,126871,130319,0,116.3,123.4,12630,12836,13479,1175.8,1108.4,1188.7,115.5,-122.87,-0.01,116.08,-121.22,1
8251,0.000330807441485938,128992,129038,128993,83.9,83.8,84.4,13242,13248,13242,1393.2,1382.6,1391.3,120.01,-119.98,0.91,120.93,-119.05,0
8251,1.2172080142035e-05,133122,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.3,1.3,120,-120,0,120,-120,0
8252,0.000452586590555494,133019,133087,133130,0,1.4,1.4,13825,13828,13836,1.3,1.3,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8252,0.045932566428512,119584,125883,129730,0,134.1,143.4,12429,12680,13403,1369,1279.5,1391.7,114.8,-123.29,-0.01,115.48,-121.36,1
8253,0.00290436698369958,128858,128760,128423,87,92.3,91.9,13223,13210,13160,1463.7,1470.7,1550.6,120.2,-119.94,0.95,121.23,-118.96,0
8253,1.45891061158094e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.5,120,-120,0,120,-120,0
8254,0.000452018379485083,133018,133086,133129,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.5,119.95,-120.03,-0.01,119.95,-120.02,1
8254,0.0447494297227422,119166,125502,129189,0,142.3,151,12386,12622,13329,1441.5,1358.9,1550.6,114.79,-123.38,-0.01,115.59,-121.35,1
8255,0.00315860457328223,129243,129086,128755,80,86,85,13278,13256,13207,1343.5,1362.4,1442.8,120.21,-119.96,0.88,121.17,-119.06,0
8255,1.40797663426055e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.5,120,-120,0,120,-120,0
8256,0.000451201895662576,133019,133086,133129,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.5,119.95,-120.03,-0.01,119.95,-120.02,1
8256,0.0407894628809011,120371,126045,129519,0,132.8,139,12511,12709,13371,1326.2,1267.3,1442.3,115.21,-123.17,-0.01,115.96,-121.3,1
8257,0.00480558639078175,129109,128965,128393,82,90.7,90.3,13258,13240,13155,1400.3,1408,1541.8,120.33,-119.89,0.89,121.36,-118.94,0
8257,1.66028668734544e-05,133122,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.5,120,-120,0,120,-120,0
8258,0.000448269163321719,133019,133086,133129,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.5,119.95,-120.03,-0.01,119.95,-120.02,1
8258,0.0402142680916761,119950,125862,129144,0,137,144.9,12467,12680,13318,1383.4,1308,1541.9,115.23,-123.15,-0.01,116.04,-121.2,1
8259,0.00470978313469669,129242,129068,128529,79.7,88.5,87.7,13277,13254,13174,1357.7,1372.7,1499.9,120.32,-119.91,0.87,121.33,-118.99,0
8259,1.58448875420573e-05,133121,133120,133119,0.8,0.8,0.8,13834,13834,13834,1.5,1.5,1.7,120,-120,0,120,-120,0
8260,0.000452564715141653,133018,133086,133128,0,1.4,1.4,13825,13828,13836,1.5,1.5,1.7,119.95,-120.03,-0.01,119.95,-120.02,1
8260,0.0390899444019737,120367,126035,129284,0,133.9,140.7,12510,12708,13337,1342.2,1277.9,1499.7,115.35,-123.1,-0.01,116.14,-121.21,1
8261,0.00492631277826594,129266,129396,129999,79.2,70.5,70.8,13281,13298,13387,1264.5,1260.3,1114.4,119.66,-120.12,0.86,120.38,-119.32,0
8261,1.08323973982199e-05,133122,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.2,1.2,1.1,120,-120,0,120,-120,0
8262,0.000457007492272157,133019,133087,133130,0,1.4,1.4,13825,13828,13836,1.2,1.2,1.1,119.95,-120.03,-0.01,119.95,-120.02,1
8262,0.0484208066408968,120442,126393,130736,0,122.7,129.8,12518,12758,13544,1237.3,1170.2,1114.3,114.71,-123.3,-0.01,115.2,-121.55,1
8263,0.0049930691619059,128984,129122,129727,84.6,75.8,76.2,13241,13259,13348,1355.2,1350,1203.2,119.65,-120.12,0.93,120.43,-119.25,0
8263,1.08475083382125e-05,133121,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.3,1.3,1.2,120,-120,0,120,-120,0
8264,0.000459872978603365,133019,133086,133130,0,1.4,1.4,13825,13828,13836,1.3,1.3,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
8264,0.0513814610267831,119560,125947,130480,0,130.7,138.8,12427,12687,13512,1324.1,1247.1,1203.1,114.38,-123.5,-0.01,114.9,-121.62,1
8265,0.00428306163275378,128812,128856,129418,88.6,81.6,80.9,13216,13221,13304,1420,1431,1298.5,119.7,-120.13,0.98,120.55,-119.22,0
8265,1.12969047057666e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.5,1.5,1.3,120,-120,0,120,-120,0
8266,0.000464056518869372,133017,133085,133130,0,1.4,1.4,13825,13828,13836,1.5,1.5,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8266,0.0527195335230625,119024,125553,130205,0,138,145.4,12371,12625,13476,1387.5,1317.6,1297.8,114.17,-123.68,-0.01,114.76,-121.71,1
8267,0.00410306887678462,128779,128816,129358,89.3,82.5,81.8,13212,13215,13295,1432,1443.8,1316.5,119.71,-120.13,0.98,120.58,-119.21,0
8267,1.12072811548967e-05,133121,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.2,120,-120,0,120,-120,0
8268,0.00046173099638986,133018,133086,133130,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
8268,0.0528752378859191,118924,125493,130147,0,139.2,146.6,12360,12616,13468,1399.3,1328.6,1315.7,114.14,-123.7,-0.01,114.74,-121.72,1
8269,0.00319489934652463,129325,128977,129469,81.6,80.6,75.5,13290,13239,13310,1286.4,1369.8,1270,119.84,-120.21,0.91,120.69,-119.39,0
8269,1.45698299303663e-05,133121,133119,133120,0.8,0.8,0.8,13834,13834,13834,1.5,1.6,1.5,120,-120,0,120,-120,0
8270,0.000461632722747171,133018,133085,133130,0,1.4,1.4,13825,13828,13836,1.5,1.6,1.5,119.95,-120.03,-0.01,119.95,-120.02,1
8270,0.0466146322783531,120631,125873,130342,0,133.2,132.5,12538,12680,13492,1263.8,1271.7,1266.8,114.65,-123.63,-0.01,115.3,-121.84,1
8271,0.00305556284531934,128906,128613,129091,89.2,87.7,83.2,13230,13187,13256,1418.5,1491.1,1392.4,119.83,-120.2,1,120.76,-119.28,0
8271,1.39641536431691e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.5,1.4,120,-120,0,120,-120,0
8272,0.000460921212220788,133018,133085,133130,0,1.4,1.4,13825,13828,13836,1.4,1.5,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8272,0.0507866393230516,119322,125274,129968,0,143.9,145.7,12402,12585,13444,1390.3,1374.2,1389.4,114.2,-123.87,-0.01,114.9,-121.9,1
8273,0.0114547319621608,129570,127866,128229,87.5,106,86.1,13328,13082,13130,1311.3,1665.1,1645.5,120.26,-120.53,1.04,121.43,-119.7,0
8273,2.47242773496867e-05,133121,133118,133119,0.8,0.8,0.8,13834,13834,13834,1.5,1.9,1.9,120,-120,0,120,-120,0
8274,0.000455283083416013,133019,133084,133129,0,1.4,1.4,13825,13828,13836,1.5,1.9,1.9,119.95,-120.03,-0.01,119.95,-120.02,1
8274,0.0440667726988575,121421,124525,129485,0,161.8,136.4,12620,12481,13380,1301.4,1547,1630.8,114.48,-124.56,-0.01,115.57,-122.72,1
8275,0.0110728219863614,129945,128289,128643,79.9,97.8,78.5,13381,13142,13189,1187.9,1532.3,1512.4,120.25,-120.52,0.95,121.32,-119.76,0
8275,2.43066750066996e-05,133121,133118,133119,0.8,0.8,0.8,13834,13834,13834,1.5,1.9,1.9,120,-120,0,120,-120,0
8276,0.000456553679330577,133019,133084,133129,0,1.4,1.4,13825,13828,13836,1.5,1.9,1.9,119.95,-120.03,-0.01,119.95,-120.02,1
8276,0.0404793388516015,122602,125190,129864,0,150,123.9,12743,12586,13429,1180.8,1433.2,1498.9,114.94,-124.26,-0.01,115.96,-122.59,1
8277,0.0205114124582449,129323,126473,126689,101,136.2,104.9,13295,12887,12907,1474.6,2063.9,2116.4,120.64,-120.8,1.24,122.19,-119.86,0
8277,3.95628968825417e-05,133122,133117,133117,0.8,0.9,0.8,13834,13834,13834,1.5,2.3,2.4,120,-120,0,120,-120,0
8278,0.000446526151705397,133021,133082,133128,0,1.5,1.4,13826,13827,13836,1.5,2.3,2.4,119.95,-120.03,-0.01,119.95,-120.02,1
8278,0.0475289687365464,120673,122696,128267,0,198.9,154.2,12542,12206,13221,1472.8,1904.4,2088.6,113.9,-125.61,-0.01,115.43,-123.52,1
8279,0.0236675771189613,129471,126157,126479,102.3,142.1,105.8,13317,12842,12876,1452.2,2142.9,2189.8,120.71,-120.95,1.27,122.33,-120.04,0
8279,3.71121353826283e-05,133122,133118,133118,0.8,0.9,0.8,13834,13834,13834,1.4,2.1,2.2,120,-120,0,120,-120,0
8280,0.000444020289220105,133022,133083,133128,0,1.4,1.4,13826,13828,13836,1.4,2.1,2.2,119.95,-120.03,-0.01,119.95,-120.02,1
8280,0.0488208446423291,121147,122333,128193,0,206.6,152.3,12592,12154,13213,1454.3,1978.6,2156,113.83,-125.93,-0.01,115.47,-123.87,1
8281,0.00575820590179145,129166,129318,130022,81.1,71.1,71.4,13267,13287,13390,1290.4,1285.9,1114.8,119.6,-120.14,0.89,120.32,-119.32,0
8281,1.08124878760916e-05,133121,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.2,120,-120,0,120,-120,0
8282,0.000463108561733588,133018,133086,133130,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
8282,0.0503004427648296,120129,126253,130766,0,124.9,132.2,12486,12735,13550,1260.9,1191.6,1114.7,114.53,-123.4,-0.01,115.01,-121.61,1
8283,0.00584305464417447,128824,128982,129691,87.8,77.6,77.9,13218,13239,13343,1400.8,1395.4,1223.1,119.6,-120.14,0.96,120.39,-119.25,0
8283,1.07243075077957e-05,133121,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.3,1.3,1.1,120,-120,0,120,-120,0
8284,0.000460914615725459,133019,133086,133130,0,1.4,1.4,13825,13828,13836,1.3,1.3,1.1,119.95,-120.03,-0.01,119.95,-120.02,1
8284,0.0539040481194252,119059,125711,130453,0,134.6,143.1,12375,12649,13510,1366.2,1285,1222.9,114.12,-123.64,-0.01,114.65,-121.7,1
8285,0.00523513747699015,128813,128853,129548,88.9,80.4,79.4,13217,13220,13322,1413.7,1429.8,1266.2,119.63,-120.17,0.98,120.46,-119.27,0
8285,1.16495331423558e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.5,1.6,1.4,120,-120,0,120,-120,0
8286,0.000466392131812085,133017,133085,133130,0,1.4,1.4,13825,13828,13836,1.5,1.5,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8286,0.0537857163012326,119027,125542,130345,0,137.8,144.6,12371,12623,13496,1379.8,1316,1265.2,114.07,-123.74,-0.01,114.64,-121.78,1
8287,0.0051736496552443,128830,128856,129550,88.7,80.4,79.2,13219,13221,13323,1409.2,1428,1265.2,119.64,-120.17,0.98,120.46,-119.27,0
8287,1.15564509286299e-05,133121,133120,133121,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.3,120,-120,0,120,-120,0
8288,0.00046419121135317,133018,133085,133130,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8288,0.0535895136227851,119081,125550,130350,0,137.7,144.1,12377,12625,13497,1375.7,1314.7,1264.1,114.09,-123.74,-0.01,114.66,-121.79,1
8289,0.00447888144423049,129667,129121,129788,76.8,76.6,68.7,13339,13259,13355,1181.4,1308.3,1176.6,119.8,-120.31,0.87,120.59,-119.57,0
8289,1.59696327884849e-05,133121,133119,133120,0.8,0.8,0.8,13834,13834,13834,1.6,1.7,1.6,120,-120,0,120,-120,0
8290,0.000467643255922767,133017,133084,133130,0,1.4,1.4,13825,13828,13836,1.6,1.7,1.6,119.95,-120.03,-0.01,119.95,-120.02,1
8290,0.0445578538722755,121713,126159,130710,0,128,122,12650,12727,13543,1162.2,1220.6,1171.8,114.85,-123.63,-0.01,115.49,-121.99,1
8291,0.00525867764047382,128811,128146,128904,94.5,94.9,85.4,13218,13120,13229,1462.1,1615.5,1467.9,119.78,-120.37,1.08,120.78,-119.44,0
8291,1.59286052474597e-05,133122,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.5,1.3,120,-120,0,120,-120,0
8292,0.000459695063994968,133019,133085,133130,0,1.4,1.4,13825,13828,13836,1.3,1.5,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8292,0.0539498797239001,119035,124629,129912,0,155.2,150,12372,12485,13442,1432,1483.3,1461.1,113.74,-124.37,-0.01,114.52,-122.34,1
8293,0.0206565370991195,129534,126349,127575,102.3,129.8,91.7,13327,12866,13035,1380.2,2058,1915,120.21,-121.14,1.28,121.62,-120.31,0
8293,3.89182005057221e-05,133123,133117,133118,0.8,0.9,0.8,13834,13834,13834,1.3,2.2,2.1,120,-120,0,120,-120,0
8294,0.000450184746140584,133023,133082,133129,0,1.4,1.4,13826,13827,13836,1.3,2.2,2.1,119.95,-120.03,-0.01,119.95,-120.02,1
8294,0.0554721299074381,121349,122527,129319,0,198,143.7,12612,12177,13375,1371.1,1895.7,1879,113.3,-126.17,-0.01,114.72,-124.22,1
8295,0.0195974928488008,129391,126371,127531,103.4,129.7,93.5,13306,12869,13028,1417.7,2059.4,1923.3,120.2,-121.08,1.28,121.61,-120.22,0
8295,3.8889780495464e-05,133123,133117,133118,0.8,0.9,0.8,13834,13834,13834,1.3,2.2,2.1,120,-120,0,120,-120,0
8296,0.000449710512489307,133023,133082,133129,0,1.4,1.4,13826,13828,13836,1.3,2.2,2.1,119.95,-120.03,-0.01,119.95,-120.02,1
8296,0.0555121480888089,120898,122519,129225,0,197.9,147.4,12566,12175,13362,1406.8,1894,1889.3,113.24,-126.1,-0.01,114.64,-124.1,1
8297,0.0775966294646727,131073,119864,123040,146.5,247.8,133.4,13568,11962,12372,1247.3,3691.2,3551.1,121.48,-123.82,1.97,124.41,-123.34,0
8297,8.897864529774e-05,133124,133111,133113,0.8,1,0.8,13835,13833,13833,1.3,3.9,3.9,120,-120,0,120.01,-120,0
8298,0.000442780134331217,133028,133075,133127,0,1.6,1.4,13826,13826,13835,1.3,3.9,3.9,119.95,-120.04,-0.01,119.95,-120.03,1
8298,0.107774649918612,126588,114903,127104,0,351.1,135.2,13157,11078,13114,1289,3369.6,3362.4,111.51,-131.97,-0.01,115.14,-130.13,1
8299,0.000101601684086954,133125,133110,133112,0.8,1,0.9,13835,13833,13833,1.4,4.4,4.4,120,-120,0,120.01,-120,0
8299,0.0749357905820651,131119,120290,123266,142.3,241.1,130.7,13573,12022,12405,1224.9,3586.2,3462,121.47,-123.66,1.91,124.31,-123.18,0
8300,0.00044485116734154,133029,133073,133126,0,1.6,1.4,13826,13826,13835,1.4,4.4,4.4,119.95,-120.04,-0.01,119.95,-120.03,1
8300,0.10407354655676,126700,115433,127221,0,342,132.8,13169,11156,13127,1265.5,3282,3284.6,111.77,-131.6,-0.01,115.29,-129.8,1
8301,0.000150035164867562,129907,129930,129926,66.3,66,66.3,13372,13375,13375,1094.3,1089.5,1089.6,120,-119.99,0.72,120.71,-119.27,0
8301,1.23601306906332e-05,133122,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.3,1.3,120,-120,0,120,-120,0
8302,0.000452148537353437,133019,133087,133130,0,1.4,1.4,13825,13828,13836,1.3,1.3,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8302,0.0366825677734749,122470,127349,130602,0,107.6,113.4,12729,12912,13515,1080.1,1025,1089.7,115.84,-122.67,-0.01,116.38,-121.15,1
8303,0.000175282452451655,129980,130007,130003,64.8,64.4,64.8,13383,13387,13386,1069.7,1064.2,1064.2,120,-119.99,0.7,120.69,-119.29,0
8303,1.23590229897095e-05,133122,133121,133121,0.8,0.8,0.8,13834,13834,13834,1.2,1.2,1.2,120,-120,0,120,-120,0
8304,0.000449716405506813,133020,133087,133130,0,1.4,1.4,13825,13828,13836,1.2,1.2,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
8304,0.0358949322924072,122706,127477,130670,0,105.3,110.9,12753,12933,13524,1056.2,1002.5,1064.4,115.93,-122.61,-0.01,116.46,-121.13,1
8305,0.000978187918695432,130007,130138,129999,63.2,63,64.8,13386,13405,13385,1060.4,1029.8,1057.3,120.04,-119.93,0.67,120.73,-119.23,0
8305,1.20749043288696e-05,133122,133121,133121,0.8,0.8,0.8,13834,13834,13834,1.2,1.2,1.2,120,-120,0,120,-120,0
8306,0.00044862402789892,133020,133087,133130,0,1.4,1.4,13825,13828,13836,1.2,1.2,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
8306,0.0346327675274677,122792,127670,130620,0,102.1,110,12762,12963,13515,1047.5,971.3,1058.1,116.1,-122.44,-0.01,116.61,-120.97,1
8307,0.000775638947543311,129192,129296,129188,79.4,79.2,80.7,13270,13285,13270,1327.7,1303.3,1324.5,120.03,-119.95,0.86,120.9,-119.06,0
8307,1.20323149712184e-05,133122,133121,133121,0.8,0.8,0.8,13834,13834,13834,1.2,1.1,1.2,120,-120,0,120,-120,0
8308,0.000447495298030368,133021,133087,133130,0,1.3,1.4,13826,13828,13836,1.2,1.1,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
8308,0.0434421158381146,120208,126286,129891,0,126.9,136.9,12494,12743,13423,1306.2,1211,1325.3,115.1,-123.07,-0.01,115.74,-121.23,1
8309,0.00426501820481819,129326,129848,129215,72.7,72.8,80.2,13288,13365,13274,1283.2,1157.2,1286.2,120.19,-119.7,0.75,121.02,-118.83,0
8309,1.10933447584101e-05,133122,133121,133120,0.8,0.8,0.8,13834,13834,13834,1.3,1.2,1.3,120,-120,0,120,-120,0
8310,0.000448604123858534,133019,133087,133129,0,1.4,1.4,13825,13828,13836,1.3,1.2,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8310,0.0386845973919096,120629,127087,129744,0,113.4,132.6,12538,12868,13393,1264.9,1081,1289.6,115.8,-122.38,-0.01,116.38,-120.61,1
8311,0.00430871584014853,128866,129386,128746,81.6,81.9,89.2,13223,13299,13207,1433.1,1307.4,1437.5,120.2,-119.7,0.85,121.12,-118.72,0
8311,1.10502547231812e-05,133121,133121,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.3,1.4,120,-120,0,120,-120,0
8312,0.000452648886714799,133018,133087,133129,0,1.4,1.4,13825,13828,13836,1.4,1.3,1.4,119.95,-120.03,-0.01,119.95,-120.02,1
8312,0.043405244524917,119184,126334,129308,0,127,147.6,12388,12749,13338,1409.4,1211.2,1441.3,115.27,-122.71,-0.01,115.92,-120.73,1
8313,0.0148648144311285,128207,129945,127729,83,84.8,108.5,13126,13382,13063,1659.1,1220.6,1684.7,120.69,-118.98,0.76,121.73,-117.78,0
8313,1.51680963361114e-05,133121,133121,133119,0.8,0.8,0.8,13834,13834,13834,1.6,1.1,1.6,120,-120,0,120,-120,0
8314,0.000447841294258831,133016,133088,133128,0,1.3,1.4,13825,13828,13835,1.6,1.1,1.6,119.95,-120.03,-0.01,119.95,-120.02,1
8314,0.0439504940072969,117124,126959,127854,0,118.3,170.5,12173,12842,13121,1630,1127.6,1693.5,116.17,-121.38,-0.01,116.79,-119.12,1
8315,0.0147180798790723,128259,129980,127784,82.2,84,107.4,13133,13387,13070,1642.4,1208.1,1668,120.69,-118.99,0.76,121.71,-117.8,0
8315,1.5204661358352e-05,133120,133121,133119,0.8,0.8,0.8,13834,13834,13834,1.7,1.2,1.7,120,-120,0,120,-120,0
8316,0.000450712516722225,133015,133087,133127,0,1.4,1.4,13825,13828,13835,1.7,1.2,1.7,119.95,-120.03,-0.01,119.95,-120.02,1
8316,0.0434970064779595,117284,127019,127913,0,117.2,168.9,12190,12852,13128,1614,1116.9,1676.6,116.2,-121.37,-0.01,116.82,-119.13,1
8317,0.0269279731484778,127131,130198,126203,92.3,96.2,136.9,12969,13422,12847,2035.8,1235.3,2085.9,121.28,-118.15,0.73,122.5,-116.62,0
8317,2.15457020848249e-05,133119,133121,133118,0.8,0.8,0.8,13834,13834,13834,2,1.3,2,120,-120,0,120,-120,0
8318,0.000453194915512843,133012,133087,133126,0,1.4,1.4,13825,13828,13835,2,1.3,2,119.95,-120.03,-0.01,119.95,-120.02,1
8318,0.0534486337667927,113813,127077,125861,0,118.6,208,11829,12856,12832,1991.2,1131.2,2095.2,116.86,-120.07,-0.01,117.51,-117.32,1
8319,0.0242670837744082,127582,130372,126761,86.1,89.5,126.5,13034,13446,12926,1885,1160.6,1928.8,121.15,-118.33,0.69,122.28,-116.92,0
8319,2.68987926327873e-05,133119,133121,133117,0.8,0.8,0.9,13834,13834,13834,2.3,1.3,2.3,120,-120,0,120,-120,0
8320,0.000455925527485302,133010,133087,133125,0,1.4,1.5,13824,13828,13835,2.3,1.3,2.3,119.95,-120.03,-0.01,119.95,-120.01,1
8320,0.0493265267570481,115193,127413,126508,0,112.2,193.1,11973,12910,12921,1847.4,1068.8,1937.6,116.95,-120.21,-0.01,117.56,-117.67,1
8321,0.000867269445664109,129247,129295,129383,79.2,77.5,77.9,13278,13285,13298,1303,1296.8,1274.7,119.94,-120.01,0.86,120.78,-119.15,0
8321,1.19002489643558e-05,133121,133120,133120,0.8,0.8,0.8,13834,13834,13834,1.4,1.4,1.3,120,-120,0,120,-120,0
8322,0.000456113518816068,133019,133086,133130,0,1.4,1.4,13825,13828,13836,1.4,1.4,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
8322,0.0443795009100525,120383,126289,130113,0,126.3,134.3,12512,12744,13455,1280.8,1205.1,1274.8,115.01,-123.17,-0.01,115.62,-121.36,1
8323,0.000775666765642352,129339,129385,129461,77.4,75.8,76.2,13291,13298,13309,1273.9,1267.6,1248.3,119.95,-120.01,0.84,120.77,-119.17,0
