No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
57,0.00491612281803611,133276,132541,132622,6.4,13.2,7,13857,13750,13762,10.1,179.1,182.5,120.14,-120.2,0.08,120.28,-120.21,0
57,1.84539773984425e-05,133125,133123,133123,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
58,0.000407277503178723,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
58,0.00693687209589998,133526,132326,132893,0,19.5,2.3,13878,13713,13810,10.2,178.6,182.1,119.73,-120.65,-0.01,119.93,-120.63,1
59,0.0047855865869422,133271,132555,132632,6.3,12.9,6.8,13856,13752,13763,10.6,174.9,178.4,120.14,-120.2,0.08,120.27,-120.2,0
59,1.77210157424041e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
60,0.000407512009860261,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
60,0.00674392979721175,133506,132344,132897,0,19.1,2.3,13876,13716,13810,10.6,174.4,177.9,119.74,-120.64,-0.01,119.93,-120.62,1
61,0.000201396205549643,133100,133073,133104,1.5,1.5,1.1,13831,13827,13832,10.1,15.3,9.8,119.99,-120.01,0.01,120,-120.01,0
61,1.26099179119136e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
62,0.000409520704106691,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
62,0.000993036188655459,132945,133006,133133,0,2.8,2.2,13818,13815,13837,10.1,15.3,9.8,119.89,-120.09,-0.01,119.9,-120.06,1
63,0.000190112753153312,133097,133074,133103,1.5,1.5,1.2,13831,13827,13832,10.7,15.3,9.8,119.99,-120.01,0.01,120,-120.01,0
63,1.26120779578528e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
64,0.000409524403166149,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
64,0.00100429564245376,132937,133006,133132,0,2.8,2.3,13817,13815,13837,10.6,15.3,9.8,119.89,-120.09,-0.01,119.89,-120.06,1
65,0.00101693861713011,133133,132971,133018,2.3,3.7,2,13836,13812,13819,9.9,45.4,41.6,120.02,-120.05,0.02,120.05,-120.05,0
65,1.35143868713158e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
66,0.000409205408504402,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
66,0.0017230065419549,133054,132874,133094,0,5.8,2.2,13829,13795,13833,9.9,45.3,41.5,119.85,-120.2,-0.01,119.89,-120.18,1
67,0.000818261212911858,133129,132998,133037,2,3.2,1.8,13835,13816,13822,8.9,37.3,34,120.01,-120.04,0.02,120.04,-120.04,0
67,1.33761206096786e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
68,0.000409272731454003,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
68,0.00144261154752067,133040,132911,133101,0,5,2.1,13828,13801,13833,8.9,37.3,34,119.87,-120.17,-0.01,119.9,-120.15,1
69,0.00432955152089991,133252,132587,132701,6.1,11.8,5.9,13853,13757,13773,10,161.7,159.1,120.11,-120.19,0.07,120.23,-120.2,0
69,1.67673939421631e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
70,0.000408173412150185,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
70,0.0063238314667642,133444,132378,132953,0,17.8,2.2,13870,13721,13818,10,161.2,158.7,119.72,-120.62,-0.01,119.89,-120.59,1
71,0.00472223692898947,133266,132542,132663,6.5,12.8,6.4,13855,13750,13768,10,175.4,173,120.12,-120.21,0.08,120.25,-120.22,0
71,1.6861208403559e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
72,0.000408151734798366,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
